County,total.pop,Date,Cases
"Houston County, Minnesota",18709,4/30/2020,1
"Hubbard County, Minnesota",20743,4/30/2020,NA
"Isanti County, Minnesota",38584,4/30/2020,6
"Itasca County, Minnesota",45237,4/30/2020,5
"Jackson County, Minnesota",10104,4/30/2020,14
"Kanabec County, Minnesota",15948,4/30/2020,NA
"Kandiyohi County, Minnesota",42577,4/30/2020,91
"Kittson County, Minnesota",4384,4/30/2020,1
"Koochiching County, Minnesota",12776,4/30/2020,1
"Lac qui Parle County, Minnesota",6840,4/30/2020,1
"Lake County, Minnesota",10578,4/30/2020,NA
"Lake of the Woods County, Minnesota",3841,4/30/2020,NA
"Le Sueur County, Minnesota",27810,4/30/2020,24
"Lincoln County, Minnesota",5724,4/30/2020,3
"Lyon County, Minnesota",25789,4/30/2020,7
"Mahnomen County, Minnesota",5500,4/30/2020,2
"Marshall County, Minnesota",9397,4/30/2020,1
"Martin County, Minnesota",20084,4/30/2020,88
"McLeod County, Minnesota",35816,4/30/2020,4
"Meeker County, Minnesota",23105,4/30/2020,11
"Mille Lacs County, Minnesota",25635,4/30/2020,2
"Morrison County, Minnesota",32880,4/30/2020,5
"Mower County, Minnesota",39386,4/30/2020,28
"Murray County, Minnesota",8394,4/30/2020,13
"Nicollet County, Minnesota",33477,4/30/2020,11
"Nobles County, Minnesota",21854,4/30/2020,742
"Norman County, Minnesota",6589,4/30/2020,8
"Olmsted County, Minnesota",151685,4/30/2020,265
"Otter Tail County, Minnesota",57790,4/30/2020,9
"Pennington County, Minnesota",14197,4/30/2020,1
"Pine County, Minnesota",29057,4/30/2020,56
"Pipestone County, Minnesota",9229,4/30/2020,2
"Polk County, Minnesota",31564,4/30/2020,27
"Pope County, Minnesota",10932,4/30/2020,NA
"Ramsey County, Minnesota",537893,4/30/2020,374
"Red Lake County, Minnesota",4017,4/30/2020,1
"Redwood County, Minnesota",15430,4/30/2020,2
"Renville County, Minnesota",14798,4/30/2020,4
"Rice County, Minnesota",65251,4/30/2020,14
"Rock County, Minnesota",9433,4/30/2020,11
"Roseau County, Minnesota",15537,4/30/2020,1
"Scott County, Minnesota",141463,4/30/2020,44
"Sherburne County, Minnesota",92024,4/30/2020,28
"Sibley County, Minnesota",14888,4/30/2020,2
"St. Louis County, Minnesota",200294,4/30/2020,71
"Stearns County, Minnesota",155300,4/30/2020,267
"Steele County, Minnesota",36612,4/30/2020,16
"Stevens County, Minnesota",9759,4/30/2020,NA
"Swift County, Minnesota",9448,4/30/2020,2
"Todd County, Minnesota",24423,4/30/2020,7
"Traverse County, Minnesota",3357,4/30/2020,2
"Wabasha County, Minnesota",21490,4/30/2020,8
"Wadena County, Minnesota",13626,4/30/2020,1
"Waseca County, Minnesota",18898,4/30/2020,4
"Washington County, Minnesota",250979,4/30/2020,131
"Watonwan County, Minnesota",10936,4/30/2020,11
"Wilkin County, Minnesota",6398,4/30/2020,12
"Winona County, Minnesota",50992,4/30/2020,66
"Wright County, Minnesota",131130,4/30/2020,42
"Yellow Medicine County, Minnesota",9930,4/30/2020,3
